NumSingle NumDouble Num3orMore NumNotCliques MaxSize AvgSize
0 4 15 9 19 6.05
3 3 17 8 32 5.60
5 4 18 8 16 5.00
1 2 19 7 22 5.43
0 7 21 8 17 4.11
2 7 20 8 24 4.19
0 5 19 10 17 4.79
1 8 19 7 24 4.22
0 5 22 7 16 4.26
2 7 25 7 12 3.53
3 2 24 11 24 4.31
2 2 21 7 18 4.91
3 3 23 8 18 4.31
1 2 19 7 22 5.43
0 7 21 8 17 4.11
2 7 20 8 24 4.19
0 5 19 10 17 4.79
1 8 19 7 24 4.22
0 5 22 7 16 4.26
2 7 25 7 12 3.53
3 2 24 11 24 4.31
2 2 21 7 18 4.91
3 3 23 8 18 4.31
2 7 20 8 24 4.19
1 8 19 7 24 4.22
2 2 21 7 18 4.91
2 9 15 8 22 4.71
3 4 25 10 13 3.86
3 4 24 8 14 4.00
1 3 24 9 24 4.22
2 7 19 9 14 4.35
0 6 19 9 17 4.60
2 5 16 8 15 5.38
3 6 19 10 14 4.48
1 7 19 11 25 4.38
1 4 19 7 28 4.96
2 9 15 8 22 4.71
3 4 25 10 13 3.86
3 4 24 8 14 4.00
1 3 24 9 24 4.22
2 7 19 9 14 4.35
0 6 19 9 17 4.60
2 5 16 8 15 5.38
3 6 19 10 14 4.48
1 7 19 11 25 4.38
1 4 19 7 28 4.96
3 4 25 10 13 3.86
1 3 24 9 24 4.22
3 6 19 10 14 4.48
3 4 25 10 13 3.86
1 3 24 9 24 4.22
3 6 19 10 14 4.48
2 5 21 7 27 4.35
1 5 17 8 26 5.18
1 3 18 8 25 5.43
1 7 22 9 17 3.93
1 5 24 10 19 3.93
2 3 18 11 21 5.38
1 5 16 6 25 5.43
3 10 17 8 23 4.15
3 8 17 9 24 4.48
3 5 22 8 17 4.15
2 5 21 7 27 4.35
1 5 17 8 26 5.18
1 3 18 8 25 5.43
1 7 22 9 17 3.93
1 5 24 10 19 3.93
2 3 18 11 21 5.38
1 5 16 6 25 5.43
3 10 17 8 23 4.15
3 8 17 9 24 4.48
3 5 22 8 17 4.15
1 3 18 8 25 5.43
2 3 18 11 21 5.38
1 5 16 6 25 5.43
1 3 18 8 25 5.43
2 3 18 11 21 5.38
1 5 16 6 25 5.43
1 3 19 9 21 5.18
3 3 22 12 17 4.48
1 2 21 9 19 4.96
1 3 23 7 19 4.38
2 3 19 9 22 5.14
4 4 23 7 21 4.11
2 2 23 6 18 4.52
1 4 20 9 18 4.75
3 5 18 7 19 4.87
2 4 17 9 19 5.38
1 3 19 9 21 5.18
3 3 22 12 17 4.48
1 2 21 9 19 4.96
1 3 23 7 19 4.38
2 3 19 9 22 5.14
4 4 23 7 21 4.11
2 2 23 6 18 4.52
1 4 20 9 18 4.75
3 5 18 7 19 4.87
2 4 17 9 19 5.38
3 3 22 12 17 4.48
1 2 21 9 19 4.96
1 4 20 9 18 4.75
3 3 22 12 17 4.48
3 5 18 7 19 4.87
2 4 17 9 19 5.38
3 7 20 8 16 4.15
1 5 24 9 16 3.93
3 5 22 7 18 4.15
3 5 15 8 22 5.60
4 4 22 10 18 4.27
1 7 18 9 24 4.56
4 8 15 7 23 4.83
0 6 17 9 20 5.00
2 5 25 7 22 3.77
2 7 18 8 16 4.52
0 5 17 7 34 5.23
1 4 19 7 21 4.96
2 5 17 10 15 5.14
1 6 21 7 19 4.22
1 10 15 6 21 4.56
1 1 21 9 19 5.18
1 9 16 8 17 4.56
1 5 16 6 33 5.43
2 9 17 7 25 4.35
2 3 19 9 17 5.14
5 6 18 7 20 4.58
2 4 21 10 19 4.52
0 8 21 11 20 3.97
1 7 20 9 18 4.22
1 4 20 7 24 4.75
4 5 23 8 21 3.96
0 9 19 8 23 4.11
3 4 18 6 30 5.09
1 3 22 9 15 4.56
0 7 20 8 24 4.26
0 5 21 9 27 4.42
1 4 19 10 15 4.96
4 5 21 9 17 4.27
1 3 18 10 16 5.43
2 3 17 9 19 5.65
1 4 20 8 32 4.75
0 5 21 10 18 4.42
3 5 23 9 12 4.00
0 6 17 6 24 5.00
0 11 15 8 26 4.42
1 6 25 8 16 3.68
1 6 17 10 20 4.96
2 4 17 7 32 5.38
1 5 19 10 14 4.75
1 5 20 10 22 4.56
0 7 21 9 17 4.11
1 2 21 11 25 4.96
2 5 14 10 30 5.95
2 6 26 9 18 3.53
0 3 23 12 15 4.42
1 2 14 9 23 7.12
2 4 20 9 16 4.71
1 5 21 7 26 4.38
3 4 21 10 19 4.48
0 7 18 8 22 4.60
1 7 14 5 32 5.43
0 6 23 10 13 3.97
0 5 24 11 15 3.97
0 6 22 11 19 4.11
1 9 18 8 18 4.22
1 4 18 8 21 5.18
0 5 22 10 13 4.26
3 2 22 8 23 4.67
3 1 19 8 21 5.60
0 3 21 8 22 4.79
2 4 22 8 20 4.35
4 3 24 10 19 4.11
3 4 23 6 22 4.15
1 6 18 9 17 4.75
5 1 20 9 17 5.24
3 5 23 9 17 4.00
1 7 13 5 31 5.70
3 3 22 10 15 4.48
1 7 18 9 18 4.56
1 4 22 8 20 4.38
2 6 20 10 14 4.35
2 3 24 10 15 4.19
0 1 25 11 16 4.42
0 3 20 9 18 5.00
3 7 21 9 24 4.00
0 2 23 7 24 4.60
3 4 20 10 18 4.67
1 2 26 9 17 4.07
4 6 21 9 13 4.11
1 3 20 7 22 4.96
4 5 18 12 13 4.83
2 3 19 9 17 5.14
2 4 25 10 16 3.90
3 6 18 9 20 4.67
0 4 15 11 18 6.05
1 3 25 12 13 4.07
2 7 23 9 14 3.77
0 4 23 11 20 4.26
1 3 22 11 18 4.56
1 5 21 6 23 4.38
1 3 21 10 14 4.75
1 6 17 7 26 4.96
1 3 26 9 21 3.93
2 2 15 7 25 6.65
0 8 18 7 26 4.42
3 7 20 8 16 4.15
1 5 24 9 16 3.93
3 5 22 7 18 4.15
3 5 15 8 22 5.60
4 4 22 10 18 4.27
1 7 18 9 24 4.56
4 8 15 7 23 4.83
0 6 17 9 20 5.00
2 5 25 7 22 3.77
2 7 18 8 16 4.52
0 5 17 7 34 5.23
1 4 19 7 21 4.96
2 5 17 10 15 5.14
1 6 21 7 19 4.22
1 10 15 6 21 4.56
1 1 21 9 19 5.18
1 9 16 8 17 4.56
1 5 16 6 33 5.43
2 9 17 7 25 4.35
2 3 19 9 17 5.14
5 6 18 7 20 4.58
2 4 21 10 19 4.52
0 8 21 11 20 3.97
1 7 20 9 18 4.22
1 4 20 7 24 4.75
4 5 23 8 21 3.96
0 9 19 8 23 4.11
3 4 18 6 30 5.09
1 3 22 9 15 4.56
0 7 20 8 24 4.26
0 5 21 9 27 4.42
1 4 19 10 15 4.96
4 5 21 9 17 4.27
1 3 18 10 16 5.43
2 3 17 9 19 5.65
1 4 20 8 32 4.75
0 5 21 10 18 4.42
3 5 23 9 12 4.00
0 6 17 6 24 5.00
0 11 15 8 26 4.42
1 6 25 8 16 3.68
1 6 17 10 20 4.96
2 4 17 7 32 5.38
1 5 19 10 14 4.75
1 5 20 10 22 4.56
0 7 21 9 17 4.11
1 2 21 11 25 4.96
2 5 14 10 30 5.95
2 6 26 9 18 3.53
0 3 23 12 15 4.42
1 2 14 9 23 7.12
2 4 20 9 16 4.71
1 5 21 7 26 4.38
3 4 21 10 19 4.48
0 7 18 8 22 4.60
1 7 14 5 32 5.43
0 6 23 10 13 3.97
0 5 24 11 15 3.97
0 6 22 11 19 4.11
1 9 18 8 18 4.22
1 4 18 8 21 5.18
0 5 22 10 13 4.26
3 2 22 8 23 4.67
3 1 19 8 21 5.60
0 3 21 8 22 4.79
2 4 22 8 20 4.35
4 3 24 10 19 4.11
3 4 23 6 22 4.15
1 6 18 9 17 4.75
5 1 20 9 17 5.24
